product_id,product_name,product_rating,product_rating_count,bestseller_score
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",4.4,426973,57.04
B014I8SX4Y,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",4.4,426973,57.04
B014I8SSD0,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",4.4,426973,57.04
B09X7DY7Q4,SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write,4.5,205052,55.04
B005FYNT3G,SanDisk Cruzer Blade 32GB USB Flash Drive,4.3,253105,53.5
B07GQD4K6L,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),4.1,363713,52.5
B071Z8M4KX,boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),4.1,363711,52.5
B07GPXXNNG,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),4.1,363713,52.5
B0BR4F878Q,"Swiffer Instant Electric Water Heater Faucet Tap Home-Kitchen Instantaneous Water Heater Tank less for Tap, LED Electric Head Water Heaters Tail Gallon Comfort(3000W) ((Pack of 1))",4.8,53803,52.29
B01N6LU1VF,SanDisk Ultra Dual 64 GB USB 3.0 OTG Pen Drive (Black),4.3,189104,52.25
