product_id,product_name,product_rating,product_rating_count,defect_signal,return_signal,dissatisfaction_signal,quality_signal,negative_signal_types
"B0BR4F878Q","Swiffer Instant Electric Water Heater Faucet Tap Home-Kitchen Instantaneous Water Heater Tank less for Tap, LED Electric Head Water Heaters Tail Gallon Comfort(3000W) ((Pack of 1))",4.8,53803,0,0,0,0,0
"B0BP89YBC1","Campfire Spring Chef Prolix Instant Portable Water Heater Geyser 1Ltr. for Use Home Stainless Steel Baking Rack | Restaurant | Office | Labs | Clinics | Saloon | with Installation Kit (With MCB)",4.7,2591,0,0,0,0,0
"B0BM9H2NY9","Multifunctional 2 in 1 Electric Egg Boiling Steamer Egg Frying Pan Egg Boiler Electric Automatic Off with Egg Boiler Machine Non-Stick Electric Egg Frying Pan-Tiger Woods (Multy)",4.7,2300,0,0,0,0,0
"B01J1CFO5I","Redgear MP35 Speed-Type Gaming Mousepad (Black/Red)",4.6,33434,0,0,0,0,0
"B095RTJH1M","Spigen EZ Fit Tempered Glass Screen Protector Guard for iPhone 14/13/13 Pro - 2 Pack",4.6,26603,0,0,0,0,0
"B07X2L5Z8C","Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for Laptop, Notebook, PC and Mac - Graphite",4.6,10652,0,0,0,0,0
"B0B244R4KB","Spigen EZ Fit Tempered Glass Screen Protector for iPhone 14 Pro - 2 Pack (Sensor Protection)",4.6,6129,0,0,0,0,0
"B08TGG316Z","10k 8k 4k HDMI Cable, Certified 48Gbps 1ms Ultra High Speed HDMI 2.1 Cable 4k 120Hz 144Hz 2k 165Hz 8k 60Hz Dynamic HDR ARC eARC DTS:X Compatible for Mac Gaming PC Soundbar TV Monitor Laptop PS5 4 Xbox",4.6,3664,0,0,0,0,0
"B00SH18114","Ikea 903.391.72 Polypropylene Plastic Solid Bevara Sealing Clip (Multicolour) - 30 Pack, Adjustable",4.6,2781,0,0,0,0,0
"B00NH11KIK","AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",4.5,107687,0,0,0,0,0
