main_category,category_rank,product_id,product_name,product_rating,product_rating_count,category_score
"Computers&Accessories",1,"B005FYNT3G","SanDisk Cruzer Blade 32GB USB Flash Drive",4.3,253105,53.5
"Computers&Accessories",2,"B01N6LU1VF","SanDisk Ultra Dual 64 GB USB 3.0 OTG Pen Drive (Black)",4.3,189104,52.25
"Electronics",1,"B014I8SSD0","Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",4.4,426973,57.04
"Electronics",2,"B07KSMBL2H","AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",4.4,426973,57.04
"Health&PersonalCare",1,"B07BKSSDR2","Dr Trust Electronic Kitchen Digital Scale Weighing Machine (Blue)",4,3663,32.83
"Home&Kitchen",1,"B0BR4F878Q","Swiffer Instant Electric Water Heater Faucet Tap Home-Kitchen Instantaneous Water Heater Tank less for Tap, LED Electric Head Water Heaters Tail Gallon Comfort(3000W) ((Pack of 1))",4.8,53803,52.29
"Home&Kitchen",2,"B01LWYDEQ7","Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen (12420, Green, 400 ml)",4.1,270563,51.28
"HomeImprovement",1,"B07R99NBVB","Gizga Essentials Cable Organiser, Cord Management System for PC, TV, Home Theater, Speaker & Cables, Reusable Cable Organizer for Desk, WFH Accessories, Organizer Tape Roll, Reusable Cable Ties Strap",4.5,5985,39.14
"HomeImprovement",2,"B07WKBD37W","ESnipe Mart Worldwide Travel Adapter with Build in Dual USB Charger Ports with 125V 6A, 250V Protected Electrical Plug for Laptops, Cameras (White)",4,2581,31.43
"MusicalInstruments",1,"B076B8G5D8","Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black)",4,68664,44.55
"OfficeProducts",1,"B00AXHBBXU","Casio FX-82MS 2nd Gen Non-Programmable Scientific Calculator, 240 Functions and 2-line Display, Black",4.4,12179,41.39
"OfficeProducts",2,"B00LZLQ624","Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages",4.5,8618,40.78
"Toys&Games",1,"B00DJ5N9VK","Faber-Castell Connector Pen Set - Pack of 25 (Assorted)",4.3,15867,41.59
