base_product,leaf_category,base_price,base_rating,alternative_product,alternative_price,alternative_rating,alternative_rating_count,saving_amount
"OnePlus 163.8 cm (65 inches) U Series 4K LED Smart Android TV 65U1S (Black)","SmartTelevisions",61999,4.1,"Kodak 80 cm (32 inches) HD Ready Certified Android LED TV 32HDX7XPRO (Black)",9999,4.2,6088,52000
"VU 164 cm (65 inches) The GloLED Series 4K Smart LED Google TV 65GloLED (Grey)","SmartTelevisions",54990,4.3,"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,4.3,4703,43491
"OnePlus 10T 5G (Moonstone Black, 8GB RAM, 128GB Storage)","Smartphones",44999,4.3,"MI REDMI 9i Sport (Carbon Black, 64 GB) (4 GB RAM)",7915,4.3,1376,37084
"Samsung 138 cm (55 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA55AUE65AKXXL (Black)","SmartTelevisions",47990,4.3,"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,4.3,4703,36491
"LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UQ7500PSF (Ceramic Black)","SmartTelevisions",47990,4.3,"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,4.3,4703,36491
"MI 138.8 cm (55 inches) 5X Series 4K Ultra HD LED Smart Android TV L55M6-ES (Grey)","SmartTelevisions",46999,4.3,"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,4.3,4703,35500
"Samsung 138 cm (55 inches) Crystal 4K Series Ultra HD Smart LED TV UA55AUE60AKLXL (Black)","SmartTelevisions",45999,4.3,"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,4.3,4703,34500
"OnePlus 138.7 cm (55 inches) U Series 4K LED Smart Android TV 55U1S (Black)","SmartTelevisions",42999,4.1,"Kodak 80 cm (32 inches) HD Ready Certified Android LED TV 32HDX7XPRO (Black)",9999,4.2,6088,33000
"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers","Smartphones",37990,4.2,"MI REDMI 9i Sport (Carbon Black, 64 GB) (4 GB RAM)",7915,4.3,1376,30075
"OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)","Smartphones",34999,4.2,"MI REDMI 9i Sport (Carbon Black, 64 GB) (4 GB RAM)",7915,4.3,1376,27084
"VU 139 cm (55 inches) The GloLED Series 4K Smart LED Google TV 55GloLED (Grey)","SmartTelevisions",37999,4.3,"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,4.3,4703,26500
"OnePlus Nord 2T 5G (Jade Fog, 12GB RAM, 256GB Storage)","Smartphones",33999,4.3,"MI REDMI 9i Sport (Carbon Black, 64 GB) (4 GB RAM)",7915,4.3,1376,26084
"Acer 139 cm (55 inches) H Series 4K Ultra HD Android Smart LED TV AR55AR2851UDPRO (Black)","SmartTelevisions",35999,4.3,"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,4.3,4703,24500
"OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black)","SmartTelevisions",32999,4.2,"Kodak 80 cm (32 inches) HD Ready Certified Android LED TV 32HDX7XPRO (Black)",9999,4.2,6088,23000
"Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50 | L50M6-RA (Black)","SmartTelevisions",32999,4.2,"Kodak 80 cm (32 inches) HD Ready Certified Android LED TV 32HDX7XPRO (Black)",9999,4.2,6088,23000
"Hisense 126 cm (50 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 50A6H (Black)","SmartTelevisions",32990,4.1,"Kodak 80 cm (32 inches) HD Ready Certified Android LED TV 32HDX7XPRO (Black)",9999,4.2,6088,22991
"iQOO 9 SE 5G (Sunset Sierra, 8GB RAM, 128GB Storage) | Qualcomm Snapdragon 888 | 66W Flash Charge","Smartphones",29990,4.3,"MI REDMI 9i Sport (Carbon Black, 64 GB) (4 GB RAM)",7915,4.3,1376,22075
"Acer 139 cm (55 inches) I Series 4K Ultra HD Android Smart LED TV AR55AR2851UDFL (Black)","SmartTelevisions",32999,4.3,"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,4.3,4703,21500
"Sansui 140cm (55 inches) 4K Ultra HD Certified Android LED TV with Dolby Audio & Dolby Vision JSW55ASUHD (Mystique Black)","SmartTelevisions",32990,4.3,"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,4.3,4703,21491
"Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black)","SmartTelevisions",32990,4.3,"Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,4.3,4703,21491
